hotel_id,destination_id,hotel_name,hotel_type,price_per_night,hotel_rating,occupancy_rate,rooms
449,17,Mountain Lodge,Standard,3959.77,4.0,61.6,83
450,110,Grand Lodge,Standard,4941.33,4.1,61.6,176
451,191,Silver Lodge,Budget,1890.37,4.6,70.0,47
452,116,Grand Hotel,Standard,4074.81,4.1,69.2,162
453,100,Golden Inn,Budget,1122.75,4.2,74.6,93
454,119,Sea Lodge,Standard,5676.13,4.5,82.9,138
455,166,Golden Lodge,Standard,2452.69,4.7,88.9,198
456,140,Mountain Resort,Luxury,15665.06,3.8,58.6,71
457,117,Sea Hotel,Luxury,20212.37,3.7,47.4,135
458,163,Silver Retreat,Standard,4907.5,5.0,91.0,60
459,97,Grand Hotel,Budget,2350.83,4.3,73.2,58
460,42,Royal Inn,Resort,9195.82,4.0,67.2,134
461,74,Grand Hotel,Budget,2432.74,3.5,53.8,23
462,118,Mountain Lodge,Standard,5229.82,4.4,72.9,75
463,151,Mountain Retreat,Budget,1551.19,4.4,64.1,160
464,72,Silver Hotel,Budget,883.16,3.7,57.1,29
465,38,Golden Lodge,Resort,13380.14,3.9,67.2,32
466,28,Royal Hotel,Standard,4688.36,4.4,76.4,172
467,147,Royal Retreat,Budget,2073.87,4.0,54.0,96
468,83,Mountain Inn,Standard,5033.77,4.8,75.8,140
469,35,Sunset Resort,Luxury,13596.54,4.1,59.8,73
470,157,Silver Lodge,Luxury,24782.22,4.2,71.1,200
471,74,Sunset Resort,Standard,3038.64,4.4,75.2,53
472,158,Silver Retreat,Budget,1637.26,3.8,59.0,94
473,50,Grand Retreat,Luxury,18632.83,3.7,60.6,177
474,107,Sea Resort,Standard,4241.66,4.5,66.9,71
475,177,Sunset Inn,Standard,3231.09,4.3,67.2,21
476,30,Sea Retreat,Budget,2031.47,4.4,64.5,64
477,50,Sea Retreat,Standard,5664.65,4.7,83.6,143
478,40,Sunset Lodge,Budget,2323.08,4.2,73.3,34
479,134,Golden Resort,Standard,4220.71,3.5,50.4,104
480,91,Royal Resort,Luxury,22292.57,4.0,60.1,156
481,43,Mountain Hotel,Budget,1811.83,4.8,88.2,200
482,81,Sea Retreat,Budget,947.56,4.8,81.4,97
483,56,Royal Inn,Budget,1436.17,3.6,46.3,43
484,114,Sunset Retreat,Budget,2338.42,3.7,51.5,143
485,188,Sea Resort,Resort,6432.95,4.8,89.5,152
486,174,Royal Inn,Homestay,1580.93,4.6,78.7,21
487,80,Golden Lodge,Resort,13718.75,4.0,69.3,46
488,134,Golden Resort,Budget,838.22,4.6,80.8,73
489,83,Sea Resort,Standard,4129.1,4.7,84.1,89
490,39,Grand Inn,Standard,5833.19,4.3,63.2,158
491,90,Sea Hotel,Budget,2403.57,4.7,82.3,63
492,19,Sea Lodge,Standard,3774.59,3.7,53.8,192
493,13,Grand Inn,Luxury,15249.92,3.8,58.7,171
494,162,Golden Retreat,Resort,11163.15,4.0,68.0,191
495,137,Sunset Retreat,Luxury,17652.42,3.6,57.1,198
496,120,Sea Retreat,Luxury,15999.28,4.9,79.9,177
497,67,Mountain Hotel,Resort,11996.15,4.5,80.9,103
498,117,Grand Retreat,Standard,2451.55,4.2,73.9,92
499,197,Silver Hotel,Standard,4031.8,4.1,68.9,47
500,84,Grand Resort,Budget,1705.67,4.1,63.4,178
